,quote_date,Dividend,underlying_bid_1545,symbol,expiration,strike,bid_1545,ask_1545,net_change,implied_volatility_1545,volume,Interest_rate,date_diff,expiration_group,Strike_diff,Strike_group
1410,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29100.00,3.9,50.0,0,0,0.0,6.25,10.0,1_week,0.0805004479005551,mid_point
1411,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29200.00,4.1,50.0,0,0,0.0,6.25,10.0,1_week,0.07734065562529924,mid_point
1412,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29300.00,11.0,40.0, -435.90, 19.00,1.0,6.25,10.0,1_week,0.07418086335004337,mid_point
1413,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29400.00,12.0,50.0,0,0,0.0,6.25,10.0,1_week,0.07102107107478761,mid_point
1414,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29500.00,24.55,29.8, -12.00, 26.01,,6.25,10.0,1_week,0.06786127879953174,mid_point
1415,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29600.00,3.6,80.0,0,0,0.0,6.25,10.0,1_week,0.06470148652427599,mid_point
1416,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29700.00,3.65,80.0,0,0,0.0,6.25,10.0,1_week,0.06154169424902012,mid_point
1417,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29800.00,4.65,80.0,0,0,0.0,6.25,10.0,1_week,0.05838190197376425,mid_point
1418,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29900.00,6.35,80.0,0,0,0.0,6.25,10.0,1_week,0.05522210969850849,mid_point
1419,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30000.00,38.0,38.5, -28.25, 23.33,,6.25,10.0,1_week,0.052062317423252624,mid_point
1420,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30100.00,38.1,66.85, -30.00, 23.64,288.0,6.25,10.0,1_week,0.04890252514799687,mid_point
1421,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,30200.00,38.0,54.3, -37.95, 22.94,270.0,6.25,10.0,1_week,0.045742732872741,mid_point
